                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1165,                 10.155,                 5.5775,                 3.7887,                0.10254,                0.06865,                0.07006,                 0.0321,                0.11411,                0.07261,                 0.0748,                0.05072,                 2.3692,                 2.2108,                  3.565,                 2.9524,             0.00018477,             0.00018477,             0.00018477
                      2,                  2.161,                 2.1881,                 3.4222,                 2.4868,                0.16801,                0.26227,                0.19856,                0.11678,                0.16639,                0.25639,                0.19441,                0.14514,                 1.7151,                 1.7177,                 2.3907,                 2.1184,             0.00037001,             0.00037001,             0.00037001
                      3,                  1.571,                 1.6889,                 2.5238,                 1.8502,                0.22931,                 0.4697,                0.26801,                0.18668,                0.22731,                0.46518,                0.26751,                0.20593,                 1.2117,                 1.3002,                 1.9505,                 1.5795,             0.00055489,             0.00055489,             0.00055489
                      4,                 1.2707,                 1.4389,                 2.1169,                 1.5152,                0.33405,                0.50867,                0.36772,                0.28189,                0.33239,                0.50502,                0.36246,                0.29564,                0.98438,                 1.1313,                 1.7242,                 1.3577,             0.00055478,             0.00055478,             0.00055478
                      5,                 1.0987,                 1.3433,                 1.9187,                 1.3617,                0.39734,                0.60858,                0.43002,                0.34985,                  0.396,                0.60802,                0.42596,                 0.3553,                0.80426,                 1.0133,                 1.5734,                 1.2152,             0.00055478,             0.00055478,             0.00055478
                      6,                0.99159,                 1.2155,                 1.7121,                 1.2471,                0.40132,                0.63129,                0.48321,                0.39897,                 0.3977,                0.62746,                0.47755,                0.39962,                0.77686,                0.93932,                 1.4297,                 1.1466,             0.00055383,             0.00055383,             0.00055383
                      7,                0.91858,                 1.1794,                 1.5733,                 1.1791,                0.50396,                0.57337,                0.55329,                0.46866,                0.50149,                0.57068,                0.54858,                0.46683,                0.70295,                0.84364,                  1.275,                 1.0933,             0.00055261,             0.00055261,             0.00055261
                      8,                0.87082,                 1.0999,                 1.4671,                 1.1403,                0.52148,                0.64216,                0.60407,                0.52263,                0.51851,                0.64062,                0.59871,                0.52044,                0.64791,                0.83162,                  1.171,                 1.0461,             0.00055113,             0.00055113,             0.00055113
                      9,                0.81639,                 1.0717,                 1.3821,                 1.1069,                0.57407,                 0.6594,                0.63383,                0.55854,                0.57138,                0.65657,                0.62831,                0.55871,                0.61553,                0.81373,                 1.1137,                 1.0219,             0.00054937,             0.00054937,             0.00054937
                     10,                0.77639,                 1.0131,                 1.2993,                 1.0773,                0.56099,                0.66444,                0.65745,                0.57264,                0.55412,                 0.6576,                0.64666,                 0.5662,                0.60858,                0.79361,                 1.0514,                 1.0195,             0.00054735,             0.00054735,             0.00054735
                     11,                0.75442,                0.98833,                 1.2445,                 1.0604,                0.67933,                0.64353,                0.70058,                0.62575,                 0.6772,                0.63795,                0.68924,                0.60888,                0.56745,                0.75379,                0.98568,                 0.9862,             0.00054507,             0.00054507,             0.00054507
                     12,                0.72981,                0.97549,                 1.1966,                 1.0442,                0.69242,                0.68509,                0.72802,                0.65011,                0.68366,                0.67687,                0.71434,                0.63924,                0.56431,                0.77552,                0.94063,                0.97942,             0.00054253,             0.00054253,             0.00054253
                     13,                0.71048,                0.93339,                 1.1512,                 1.0322,                0.73084,                0.66217,                0.73375,                 0.6579,                0.72579,                0.65057,                0.72436,                0.64618,                0.54988,                0.74297,                0.92331,                0.97589,             0.00053973,             0.00053973,             0.00053973
                     14,                0.70191,                0.96466,                 1.1117,                 1.0288,                0.68534,                0.69707,                0.73808,                0.66773,                0.67955,                0.69177,                0.72613,                0.64449,                0.51903,                0.75031,                0.87871,                0.96512,             0.00053667,             0.00053667,             0.00053667
                     15,                0.67963,                0.90623,                 1.0702,                 1.0129,                 0.8167,                 0.6914,                0.80573,                0.71931,                0.81375,                0.68684,                0.79651,                0.71112,                0.54798,                0.70948,                0.80872,                 0.9642,             0.00053336,             0.00053336,             0.00053336
                     16,                 0.6538,                0.88896,                 1.0001,                 0.9925,                0.69658,                0.74551,                0.79834,                0.72239,                 0.6859,                0.73512,                0.78255,                 0.7029,                0.51239,                0.71508,                0.75252,                0.95294,             0.00052981,             0.00052981,             0.00052981
                     17,                0.63434,                0.86184,                0.95858,                0.98453,                0.82749,                0.72155,                0.82775,                0.75563,                  0.822,                0.71633,                0.81623,                0.73503,                0.49061,                0.69425,                0.74051,                0.93152,               0.000526,               0.000526,               0.000526
                     18,                0.63342,                0.86554,                0.93738,                0.98127,                0.83964,                0.70457,                0.81965,                0.75123,                0.83196,                0.69884,                0.80644,                0.72563,                 0.4865,                0.69401,                0.75766,                0.93599,             0.00052196,             0.00052196,             0.00052196
                     19,                0.62412,                0.84362,                0.91167,                0.98163,                0.86865,                0.70982,                0.84297,                0.78953,                0.86994,                0.69592,                0.82486,                0.75675,                0.42731,                 0.6857,                0.67744,                0.91488,             0.00051767,             0.00051767,             0.00051767
                     20,                0.61079,                0.85198,                0.86811,                0.96941,                0.87219,                0.72456,                0.85894,                0.79628,                0.86506,                 0.7181,                0.84725,                0.76313,                0.44661,                0.65231,                0.66382,                0.91813,             0.00051316,             0.00051316,             0.00051316
                     21,                0.59987,                0.82521,                 0.8428,                0.96171,                0.86091,                0.75327,                0.86415,                0.78854,                0.85232,                0.74596,                0.84973,                0.75372,                0.46935,                0.67668,                 0.6314,                 0.9191,             0.00050841,             0.00050841,             0.00050841
                     22,                0.58926,                0.82086,                0.81318,                0.96186,                0.88836,                 0.7187,                0.85903,                0.79516,                0.88002,                0.71147,                0.84637,                0.76866,                0.44624,                0.66197,                0.62942,                 0.9108,             0.00050344,             0.00050344,             0.00050344
                     23,                0.58314,                0.80047,                0.80308,                0.95471,                0.84713,                 0.7795,                0.87258,                0.81174,                0.84443,                0.76657,                0.85727,                0.78413,                0.42346,                0.63466,                0.59069,                0.91023,             0.00049825,             0.00049825,             0.00049825
                     24,                0.57373,                0.81646,                0.78767,                0.95014,                0.85019,                0.80713,                0.88467,                0.82687,                0.84766,                0.78526,                0.86789,                0.78414,                0.42012,                0.66685,                0.56222,                0.90345,             0.00049284,             0.00049284,             0.00049284
                     25,                0.55165,                0.78034,                0.76378,                0.94004,                0.91491,                0.77263,                0.88892,                0.82323,                0.90656,                 0.7654,                0.87471,                0.78296,                0.42935,                0.62056,                0.55116,                0.90484,             0.00048723,             0.00048723,             0.00048723
                     26,                0.54396,                0.77099,                0.73718,                0.93802,                0.87607,                0.79678,                0.89019,                0.83288,                0.86424,                0.78716,                0.87259,                0.78753,                0.41178,                0.63924,                0.55378,                0.89963,             0.00048141,             0.00048141,             0.00048141
                     27,                0.54683,                0.77594,                0.74578,                0.93433,                0.85747,                0.80033,                0.88956,                  0.833,                0.84991,                0.79311,                0.87377,                0.78719,                0.40599,                 0.6093,                0.54973,                 0.8973,             0.00047539,             0.00047539,             0.00047539
                     28,                0.53884,                 0.7737,                0.71579,                0.93179,                0.88869,                0.77749,                 0.8834,                0.82913,                0.91197,                0.75323,                0.87134,                0.78019,                0.40797,                0.59866,                0.55628,                0.89887,             0.00046918,             0.00046918,             0.00046918
                     29,                0.52819,                0.76047,                0.70052,                0.92671,                0.88298,                0.81815,                 0.8989,                0.84455,                0.87317,                 0.8094,                0.88411,                 0.7989,                0.38224,                0.59939,                0.50718,                 0.8904,             0.00046279,             0.00046279,             0.00046279
                     30,                0.52896,                0.74143,                0.70226,                0.93058,                0.89712,                0.79825,                0.90227,                0.84845,                0.89363,                0.79549,                0.89002,                0.80693,                0.38405,                0.58976,                0.50296,                0.88988,             0.00045621,             0.00045621,             0.00045621
                     31,                0.51664,                0.71873,                0.66992,                 0.9199,                0.89439,                0.80722,                0.90517,                0.85359,                0.88639,                0.80883,                0.89247,                0.80107,                0.37771,                0.59108,                0.48805,                0.88322,             0.00044946,             0.00044946,             0.00044946
                     32,                0.51086,                0.71442,                0.66041,                0.91665,                0.93451,                 0.8024,                0.91279,                0.86488,                0.93103,                 0.7994,                0.89941,                0.81341,                0.37461,                0.57928,                0.48207,                0.88475,             0.00044255,             0.00044255,             0.00044255
                     33,                0.50847,                 0.7177,                0.66503,                0.91914,                0.90815,                0.81036,                0.90999,                0.86102,                0.90111,                0.80477,                0.89952,                0.82229,                0.36357,                0.58625,                0.48186,                0.88495,             0.00043548,             0.00043548,             0.00043548
                     34,                0.49916,                0.73879,                0.65459,                0.91646,                0.90559,                0.82453,                0.91465,                0.86454,                0.89872,                0.81831,                0.90052,                0.81372,                0.37654,                0.60771,                0.47116,                0.88108,             0.00042825,             0.00042825,             0.00042825
                     35,                0.50261,                0.71683,                0.66111,                0.91675,                0.95335,                0.80061,                0.91632,                0.86243,                0.90534,                 0.8264,                0.90262,                0.81203,                0.38158,                0.57045,                0.45986,                0.88083,             0.00042088,             0.00042088,             0.00042088
                     36,                0.48733,                 0.7215,                0.62508,                0.90867,                0.91977,                0.81635,                0.91829,                0.87542,                0.91747,                0.81435,                0.91236,                0.83271,                0.35389,                0.56951,                0.45561,                0.87745,             0.00041337,             0.00041337,             0.00041337
                     37,                0.48395,                0.70511,                0.61637,                0.90091,                0.94044,                0.80598,                 0.9192,                0.86946,                0.93679,                0.80298,                0.90655,                0.81356,                0.36067,                0.55554,                0.44169,                0.87281,             0.00040573,             0.00040573,             0.00040573
                     38,                0.48639,                0.71173,                0.62898,                0.90494,                0.91145,                0.83536,                 0.9218,                0.87604,                0.90453,                0.82778,                0.90443,                0.81528,                0.34733,                0.57374,                0.44308,                0.87049,             0.00039796,             0.00039796,             0.00039796
                     39,                0.47405,                0.71008,                0.60561,                0.89882,                0.93201,                 0.8284,                0.92571,                0.88132,                0.92657,                0.82378,                0.91491,                0.81724,                0.35168,                0.55677,                0.42457,                0.86878,             0.00039008,             0.00039008,             0.00039008
                     40,                0.47278,                0.70391,                0.59833,                0.90283,                0.93545,                0.82174,                0.92486,                0.88291,                0.92673,                0.81412,                0.91107,                0.82665,                0.34296,                0.55483,                0.42917,                0.86676,              0.0003821,              0.0003821,              0.0003821
                     41,                0.47113,                0.68418,                0.59372,                0.90111,                0.93926,                0.81965,                0.92655,                0.87809,                0.94058,                0.81016,                0.91117,                0.81162,                0.35134,                0.55423,                0.42376,                0.86965,             0.00037401,             0.00037401,             0.00037401
                     42,                0.46651,                0.68301,                0.58667,                0.89693,                0.94645,                0.80524,                0.92438,                0.87903,                0.94237,                0.80194,                0.91211,                 0.8172,                 0.3329,                0.54593,                0.42098,                0.86775,             0.00036583,             0.00036583,             0.00036583
                     43,                0.46679,                0.70548,                0.58799,                0.89792,                0.93259,                0.83887,                0.93106,                 0.8918,                0.92345,                0.83064,                0.91292,                 0.8286,                0.32767,                0.56525,                0.40938,                 0.8653,             0.00035756,             0.00035756,             0.00035756
                     44,                0.45202,                0.65838,                 0.5678,                0.89339,                0.94824,                0.80803,                0.92715,                0.88223,                0.94406,                0.80285,                0.91228,                0.82336,                0.33916,                0.57463,                0.42061,                0.86832,             0.00034922,             0.00034922,             0.00034922
                     45,                0.45069,                0.66119,                 0.5735,                0.88917,                0.93654,                  0.844,                0.93182,                 0.8863,                0.93126,                0.83916,                 0.9168,                0.82565,                0.33657,                0.55012,                0.39882,                0.86526,             0.00034082,             0.00034082,             0.00034082
                     46,                0.44962,                0.67279,                0.55149,                0.88787,                0.93743,                 0.8216,                0.92512,                0.88306,                0.93086,                0.82138,                0.91166,                0.82475,                0.32888,                0.55109,                0.41701,                0.86575,             0.00033235,             0.00033235,             0.00033235
                     47,                0.44851,                0.66823,                0.55297,                0.88921,                0.93615,                0.84987,                0.93368,                0.89222,                0.93021,                0.84527,                0.91802,                0.82718,                0.32731,                 0.5427,                0.39201,                0.86192,             0.00032383,             0.00032383,             0.00032383
                     48,                0.44242,                0.67023,                0.54535,                0.88881,                 0.9107,                0.85147,                0.93201,                0.88625,                0.90094,                0.84927,                0.91658,                0.82863,                0.33456,                0.56183,                0.39167,                0.86166,             0.00031527,             0.00031527,             0.00031527
                     49,                0.44656,                 0.6679,                0.54311,                0.88957,                0.92958,                0.84178,                0.93398,                0.89408,                0.92711,                0.83568,                0.92086,                0.83105,                0.32409,                0.56497,                0.39149,                 0.8602,             0.00030668,             0.00030668,             0.00030668
                     50,                0.43452,                0.65644,                0.53302,                0.88157,                  0.945,                0.83261,                0.93308,                0.89552,                0.93854,                0.82674,                0.91969,                0.83237,                0.31545,                0.54182,                0.39143,                0.86009,             0.00029806,             0.00029806,             0.00029806
                     51,                0.43499,                0.63885,                0.53231,                0.87889,                 0.9558,                0.82017,                0.93454,                0.89378,                 0.9479,                0.81333,                 0.9157,                0.83011,                0.32638,                 0.5302,                0.38616,                0.85964,             0.00028942,             0.00028942,             0.00028942
                     52,                0.43147,                0.64449,                0.52834,                0.87813,                0.95512,                0.84057,                0.93642,                0.90125,                0.95181,                0.83756,                0.92342,                0.85111,                0.30901,                0.52913,                0.38144,                0.85692,             0.00028078,             0.00028078,             0.00028078
                     53,                0.42672,                0.63824,                0.51772,                0.88177,                0.96889,                 0.8291,                0.93699,                0.89852,                0.96246,                0.82348,                0.92131,                0.83596,                0.31651,                0.54155,                0.36956,                 0.8563,             0.00027214,             0.00027214,             0.00027214
                     54,                0.42715,                0.65135,                0.51774,                0.88226,                0.92529,                0.86779,                0.93918,                0.90414,                0.92123,                0.86417,                0.92371,                 0.8345,                0.30933,                0.52065,                0.36855,                0.85688,              0.0002635,              0.0002635,              0.0002635
                     55,                0.42604,                0.63377,                 0.5181,                0.88062,                0.94213,                0.85695,                0.94209,                0.90548,                0.93809,                0.85334,                 0.9276,                0.84559,                0.30953,                0.53442,                0.35726,                0.85593,             0.00025488,             0.00025488,             0.00025488
                     56,                0.42004,                 0.6368,                0.50761,                 0.8781,                 0.9544,                0.84458,                 0.9396,                 0.8983,                0.94948,                0.83978,                0.92413,                0.82731,                0.31483,                0.55657,                0.36376,                 0.8546,             0.00024629,             0.00024629,             0.00024629
                     57,                0.42033,                0.62386,                0.49311,                0.87659,                0.93984,                0.85003,                0.93794,                0.90104,                0.93355,                0.84441,                0.92159,                0.82801,                0.30842,                0.54018,                0.36709,                0.85397,             0.00023773,             0.00023773,             0.00023773
                     58,                0.41741,                0.61779,                0.50329,                 0.8751,                0.94448,                0.84932,                0.93829,                0.90455,                0.94096,                0.84631,                0.92347,                0.83514,                0.29987,                0.51965,                0.36493,                0.85177,             0.00022921,             0.00022921,             0.00022921
                     59,                0.41333,                0.62754,                0.49835,                0.87486,                0.94456,                0.85266,                0.93991,                0.90491,                0.93935,                0.84805,                 0.9265,                0.83854,                 0.3026,                0.52353,                0.35961,                0.85229,             0.00022074,             0.00022074,             0.00022074
                     60,                 0.4147,                0.62492,                0.49341,                0.87365,                 0.9515,                0.85655,                0.94313,                0.90714,                0.94754,                0.85293,                0.92956,                0.83606,                0.30546,                0.52392,                0.35402,                0.85362,             0.00021234,             0.00021234,             0.00021234
                     61,                0.41362,                0.62368,                0.48613,                0.87422,                0.96139,                0.85515,                0.94358,                0.90725,                 0.9574,                0.85154,                0.93048,                0.84051,                0.29716,                0.52576,                0.34668,                0.84837,               0.000204,               0.000204,               0.000204
                     62,                 0.4106,                0.61182,                0.48817,                0.87194,                 0.9456,                0.85957,                 0.9429,                0.90822,                0.94051,                0.85496,                0.92838,                0.84041,                0.29534,                0.52585,                0.35317,                0.84927,             0.00019573,             0.00019573,             0.00019573
                     63,                0.40606,                0.61218,                0.47599,                0.87189,                0.92301,                0.87811,                0.94255,                0.90633,                0.91975,                 0.8751,                0.92995,                0.83806,                0.30047,                0.51787,                0.34769,                0.85076,             0.00018755,             0.00018755,             0.00018755
                     64,                0.39965,                0.60672,                0.47057,                0.87035,                0.96375,                0.84606,                0.94343,                0.90736,                0.95901,                0.84184,                0.92554,                0.83555,                0.29569,                0.51216,                0.34682,                0.84853,             0.00017946,             0.00017946,             0.00017946
                     65,                0.40571,                0.60051,                0.47395,                0.87204,                 0.9584,                0.84408,                0.94268,                0.90639,                0.95294,                0.83964,                0.92743,                0.83519,                0.30172,                0.52687,                0.34738,                 0.8488,             0.00017148,             0.00017148,             0.00017148
                     66,                0.39873,                0.61125,                0.46641,                0.86811,                0.94488,                0.86537,                0.94287,                0.90629,                0.94035,                0.86115,                0.92939,                0.83433,                0.29532,                0.50932,                0.34364,                0.84779,              0.0001636,              0.0001636,              0.0001636
                     67,                0.39944,                0.59936,                0.46623,                0.86675,                0.95128,                0.85763,                0.94548,                0.91016,                0.94407,                 0.8526,                0.93226,                0.84596,                0.29411,                0.51324,                0.33949,                0.84851,             0.00015583,             0.00015583,             0.00015583
                     68,                0.39672,                 0.6023,                 0.4647,                0.86738,                 0.9413,                0.86943,                0.94637,                0.91169,                0.94023,                0.86049,                 0.9344,                0.84147,                 0.2907,                0.50699,                0.33708,                0.84662,             0.00014819,             0.00014819,             0.00014819
                     69,                0.39295,                0.57259,                 0.4604,                0.86892,                0.94679,                0.85791,                0.94515,                 0.9099,                0.94027,                0.85207,                0.92904,                   0.84,                0.29686,                0.51206,                0.34113,                0.84837,             0.00014068,             0.00014068,             0.00014068
                     70,                  0.395,                0.60731,                0.46364,                0.86864,                0.95764,                0.85756,                0.94515,                 0.9087,                 0.9518,                0.85234,                0.93105,                0.84037,                0.29594,                0.50116,                 0.3394,                0.84704,             0.00013331,             0.00013331,             0.00013331
                     71,                0.38706,                0.60539,                0.45506,                0.86819,                0.95347,                0.86339,                0.94555,                0.90862,                 0.9489,                0.85917,                0.93186,                0.84313,                0.29227,                0.49823,                0.33656,                0.84906,             0.00012608,             0.00012608,             0.00012608
                     72,                0.38288,                0.58529,                0.44671,                0.86181,                0.95505,                0.85281,                 0.9441,                0.91135,                0.95046,                0.84858,                0.93317,                0.84223,                0.28466,                0.50036,                0.33683,                0.84649,             0.00011901,             0.00011901,             0.00011901
                     73,                0.38784,                0.59432,                0.44028,                0.86664,                0.96097,                0.84411,                0.94469,                0.91121,                0.95436,                0.83853,                0.93189,                0.83901,                 0.2879,                0.50782,                0.33292,                0.84484,              0.0001121,              0.0001121,              0.0001121
                     74,                0.38486,                0.58862,                  0.447,                0.86048,                0.97181,                0.84548,                0.94772,                0.91321,                 0.9673,                 0.8418,                0.93642,                 0.8447,                0.28864,                0.49824,                0.32962,                0.84479,             0.00010535,             0.00010535,             0.00010535
                     75,                0.38281,                0.58586,                0.43663,                0.86405,                0.95595,                0.85612,                0.94636,                 0.9107,                0.95124,                0.85189,                0.93252,                0.83924,                0.29228,                0.50299,                0.33292,                0.84563,             9.8774e-05,             9.8774e-05,             9.8774e-05
                     76,                0.38216,                0.58016,                0.43471,                0.86121,                0.96921,                0.84729,                 0.9465,                0.91133,                0.96489,                0.84409,                0.93498,                0.84293,                0.28548,                0.50115,                0.32903,                0.84399,             9.2379e-05,             9.2379e-05,             9.2379e-05
                     77,                0.38336,                 0.5802,                0.43291,                0.86647,                0.94697,                0.85638,                0.94462,                0.90932,                0.94183,                0.85176,                0.93021,                0.83471,                0.28813,                0.50534,                0.33503,                0.84493,              8.617e-05,              8.617e-05,              8.617e-05
                     78,                0.38333,                0.58559,                0.43769,                 0.8638,                0.95966,                0.86233,                0.94702,                0.91112,                0.95403,                0.85778,                0.93197,                 0.8397,                0.28858,                0.50288,                0.32642,                0.84567,             8.0153e-05,             8.0153e-05,             8.0153e-05
                     79,                0.38016,                0.57661,                0.43279,                 0.8607,                  0.966,                0.85106,                0.94704,                0.91493,                0.96175,                 0.8475,                0.93324,                0.83712,                0.28493,                0.50301,                0.32556,                0.84459,             7.4334e-05,             7.4334e-05,             7.4334e-05
                     80,                0.37323,                0.57621,                 0.4215,                0.86004,                0.93216,                0.88001,                0.94777,                0.91445,                0.92824,                0.87639,                0.93354,                0.83966,                 0.2839,                 0.5076,                0.32623,                 0.8444,             6.8719e-05,             6.8719e-05,             6.8719e-05
                     81,                0.37151,                0.55938,                 0.4277,                0.85473,                0.95508,                0.85691,                0.94759,                0.91479,                 0.9489,                0.85177,                0.93378,                 0.8429,                0.28106,                0.50887,                0.32651,                0.84391,             6.3314e-05,             6.3314e-05,             6.3314e-05
                     82,                0.37291,                0.56234,                0.42897,                0.86143,                0.94198,                0.86843,                0.94704,                0.91452,                0.93811,                0.86482,                 0.9324,                0.84076,                0.28673,                0.50285,                0.32141,                0.84608,             5.8122e-05,             5.8122e-05,             5.8122e-05
                     83,                0.36857,                0.55923,                0.41794,                0.86039,                0.95701,                0.85593,                0.94725,                0.91335,                0.95303,                0.85231,                0.93183,                0.83852,                0.28796,                0.51132,                0.32544,                 0.8444,             5.3151e-05,             5.3151e-05,             5.3151e-05
                     84,                0.37421,                0.57562,                0.42281,                0.86188,                0.92826,                0.88165,                0.94802,                0.91397,                0.92701,                0.87475,                 0.9335,                0.84197,                0.28354,                0.50502,                0.32377,                0.84382,             4.8404e-05,             4.8404e-05,             4.8404e-05
                     85,                0.36868,                0.55187,                0.41298,                0.85877,                0.97132,                0.85413,                0.94849,                0.91461,                0.96723,                0.85052,                0.93274,                0.83978,                0.28471,                0.50615,                0.32163,                0.84423,             4.3887e-05,             4.3887e-05,             4.3887e-05
                     86,                0.36811,                0.56406,                0.41355,                0.85614,                0.94495,                0.87723,                0.94861,                0.91448,                0.94004,                0.87227,                0.93261,                0.84362,                0.28229,                0.50736,                0.31925,                0.84391,             3.9603e-05,             3.9603e-05,             3.9603e-05
                     87,                0.36624,                 0.5739,                0.41236,                0.85377,                0.96849,                0.85552,                0.95018,                0.91524,                0.96378,                0.85129,                0.93293,                0.84284,                0.28338,                0.50399,                0.31969,                0.84371,             3.5557e-05,             3.5557e-05,             3.5557e-05
                     88,                0.36926,                0.56358,                0.41368,                0.85779,                0.96852,                0.85509,                0.95065,                0.91527,                0.96384,                0.85087,                0.93357,                0.84216,                0.28278,                0.50206,                0.31741,                  0.843,             3.1753e-05,             3.1753e-05,             3.1753e-05
                     89,                0.36936,                0.56209,                0.41055,                0.85798,                0.95509,                0.86252,                0.94878,                0.91322,                0.95047,                0.85829,                0.93298,                0.83863,                0.28453,                0.50351,                0.31862,                0.84207,             2.8196e-05,             2.8196e-05,             2.8196e-05
                     90,                0.36658,                0.55988,                0.40802,                0.85769,                0.94826,                0.86586,                0.94876,                0.91412,                0.94366,                0.86164,                0.93316,                0.84116,                0.28265,                0.50323,                0.31866,                0.84308,             2.4887e-05,             2.4887e-05,             2.4887e-05
                     91,                0.32536,                0.47018,                 0.3424,                0.85171,                0.95743,                0.85801,                 0.9493,                0.91389,                0.95351,                0.85484,                0.93418,                0.83816,                0.28323,                0.50136,                0.31969,                0.84112,             2.1831e-05,             2.1831e-05,             2.1831e-05
                     92,                0.32115,                0.46132,                0.33632,                0.85248,                0.95779,                0.86131,                0.94723,                0.91229,                 0.9527,                0.85731,                0.93128,                0.83628,                0.28792,                0.50753,                0.31908,                0.84244,              1.903e-05,              1.903e-05,              1.903e-05
                     93,                0.31531,                0.46871,                0.32643,                0.84592,                0.94935,                0.87049,                0.94881,                0.91331,                0.94588,                0.86727,                0.93426,                  0.838,                0.28606,                0.50637,                0.31718,                0.84272,             1.6488e-05,             1.6488e-05,             1.6488e-05
                     94,                0.31566,                0.44753,                0.33143,                0.85006,                0.95698,                0.86345,                0.94927,                0.91378,                0.95348,                0.86023,                0.93443,                 0.8387,                0.28211,                  0.505,                0.31559,                0.84219,             1.4207e-05,             1.4207e-05,             1.4207e-05
                     95,                0.31766,                0.46055,                0.33643,                0.84937,                0.95614,                 0.8625,                0.94985,                  0.914,                0.95145,                 0.8582,                0.93323,                0.83746,                0.28318,                0.50659,                0.31531,                0.84269,             1.2188e-05,             1.2188e-05,             1.2188e-05
                     96,                0.31907,                0.45405,                 0.3294,                0.84625,                0.92962,                0.88189,                0.94889,                0.91426,                0.95505,                0.85209,                0.93358,                0.83878,                0.28477,                0.50381,                0.31749,                0.84293,             1.0435e-05,             1.0435e-05,             1.0435e-05
                     97,                0.31977,                0.47859,                0.33376,                0.85077,                0.95156,                0.86511,                0.94885,                 0.9143,                0.94807,                0.86188,                0.93299,                0.83797,                0.28406,                0.50317,                0.31563,                0.84265,             8.9484e-06,             8.9484e-06,             8.9484e-06
                     98,                0.31175,                0.45662,                0.32317,                0.84616,                 0.9445,                0.87158,                0.95005,                0.91548,                0.94831,                0.86496,                0.93522,                0.83952,                0.28117,                0.50463,                 0.3143,                0.84263,             7.7302e-06,             7.7302e-06,             7.7302e-06
                     99,                0.30922,                0.45504,                0.32119,                0.84302,                0.95342,                0.86617,                0.94958,                0.91535,                0.94992,                0.86295,                0.93408,                0.83792,                 0.2818,                0.50427,                0.31462,                0.84249,             6.7814e-06,             6.7814e-06,             6.7814e-06
                    100,                0.31107,                0.45338,                0.32364,                0.84344,                0.93966,                0.87492,                0.94982,                0.91482,                0.94907,                0.86224,                0.93439,                0.83972,                0.28256,                0.50301,                0.31376,                 0.8428,             6.1031e-06,             6.1031e-06,             6.1031e-06
